Date_Time,   npoints,   u_starr,   taur,   Hcr,   LE_wplr,   Evap,   Fc_wplr,  Fc_wpl_umol,   CO2_conc,  CO2_PPM,   CO2_sig_str,   H2O_conc,   H2O_sig_str,   Temp_amb,  Amb_Press,   wind_speed,   wind_dir_sonic,  obukhov,  zeta,  rou,  sigmaw_ustar,  Xmax,  XR90
TS,   Tot,   m/s,   Kg(m s^2),   W/m^2,   W/m^2,   L/m^2,   mg/(m^2 s),  umol/(m^2 s),   mg/m^3,  PPM,   arb,   g/m^3,   arb,   C,  kPa,   m/s,   deg,   m,   arb,   m,  arb,   m,  m,  
18/01/01 0:00 0:30,  18000.0,   0.214138,   -0.057195,   16.258988,   39.848735,   0.028329,   -0.007424,   -0.168680,   749.989069,   395.734614,   0.960000,   2.508302,   0.948768,   -1.846744,   97.331962,   4.990244,   103.372672,   -46.150465,   -0.043337,   0.000068,   5.302959,   61.156960,   122.313921,  
18/01/01 0:30 1:00,  18000.0,   0.197488,   -0.048669,   17.949741,   40.939258,   0.029088,   -0.010270,   -0.233368,   750.269661,   395.699274,   0.960000,   2.488407,   0.948524,   -1.939473,   97.344331,   5.089654,   102.479466,   -33.073870,   -0.060471,   0.000058,   6.459601,   56.413684,   112.827367,  
18/01/01 1:00 1:30,  17999.0,   0.202553,   -0.051236,   22.001580,   40.910671,   0.029015,   -0.012410,   -0.281993,   751.002530,   395.791602,   0.960000,   2.448122,   0.948107,   -2.130485,   97.346288,   5.235285,   100.481525,   -29.736410,   -0.067258,   0.000061,   6.300921,   56.176587,   112.353173,  
18/01/01 1:30 2:00,  18000.0,   0.220924,   -0.060995,   22.703608,   41.884708,   0.029689,   -0.011746,   -0.266891,   751.137532,   395.574740,   0.960000,   2.506843,   0.948082,   -2.301725,   97.354012,   5.199757,   101.021417,   -37.424071,   -0.053442,   0.000072,   5.356942,   58.884501,   117.769003,  
18/01/01 2:00 2:30,  18000.0,   0.259015,   -0.083802,   27.318557,   50.428286,   0.035750,   -0.012344,   -0.280495,   750.870734,   395.621853,   0.959997,   2.509549,   0.948049,   -2.137916,   97.365155,   5.855320,   100.311042,   -50.124107,   -0.039901,   0.000099,   4.498386,   58.160358,   116.320716,  
18/01/01 2:30 3:00,  17999.0,   0.246769,   -0.076070,   26.583801,   50.764076,   0.036015,   -0.015443,   -0.350902,   751.033967,   395.687163,   0.959991,   2.440396,   0.948015,   -2.079989,   97.382276,   5.860650,   101.417573,   -44.406500,   -0.045038,   0.000090,   4.717480,   58.647295,   117.294589,  
18/01/01 3:00 3:30,  18000.0,   0.244152,   -0.074500,   26.632847,   48.351164,   0.034282,   -0.012950,   -0.294261,   751.482443,   395.733985,   0.959958,   2.447216,   0.948001,   -2.155347,   97.398269,   6.170799,   103.339620,   -43.142460,   -0.046358,   0.000088,   4.889710,   57.573263,   115.146527,  
18/01/01 3:30 4:00,  18000.0,   0.249645,   -0.077861,   27.297760,   52.780986,   0.037461,   -0.012703,   -0.288652,   751.182981,   395.729156,   0.959958,   2.394709,   0.948001,   -2.011670,   97.403727,   6.055285,   102.976695,   -44.728862,   -0.044714,   0.000092,   4.782940,   57.364502,   114.729005,  
18/01/01 4:00 4:30,  17999.0,   0.267867,   -0.089639,   29.706313,   60.351853,   0.042858,   -0.013081,   -0.297236,   751.301920,   395.805953,   0.959896,   2.378128,   0.948000,   -1.973627,   97.411177,   6.715594,   107.578028,   -50.528317,   -0.039582,   0.000106,   4.444209,   56.865073,   113.730145,  
