Date_Time, npoints, u_starr, taur, Hcr, LE_wplr, Evap, Fc_wplr,Fc_wpl_umol, CO2_conc,CO2_PPM, CO2_sig_str, H2O_conc, H2O_sig_str, Temp_amb,Amb_Press, wind_speed, wind_dir,obukhov,zeta,rou,sigmaw_ustar,Xmax,XR90,Cd2m,Ce2m,
TS, Tot, m/s, Kg/(m s^2), W/m^2, W/m^2, L/m^2, mg/(m^2 s),umol/(m^2 s), mg/m^3,PPM, arb, g/m^3, arb, Celsius,kPa, m/s, Degrees, m, arb, m,arb, m,m, arb,arb,
19/12/07 11:30 12:00,35999.0,0.514558,-0.328849,-58.194322,63.993343,0.047045,0.053775,1.221891,770.015549,408.003938,0.963965,3.317254,0.953818,4.121203,99.027841,7.828455,109.833794,207.357290,0.008681,0.000391,2.474142,43.464143,86.928286,0.002226,0.001738,
19/12/07 12:00 12:30,36000.0,0.482892,-0.289552,-57.546320,59.288591,0.043666,0.041582,0.944842,769.507504,407.829314,0.963970,3.375202,0.953909,4.188606,99.039184,7.051173,109.405641,173.339447,0.010384,0.000345,2.531444,45.405962,90.811923,0.002157,0.001722,
19/12/07 12:30 13:00,35999.0,0.464972,-0.268421,-38.121442,48.141742,0.035296,0.027112,0.616048,769.160007,407.707825,0.963683,3.297156,0.953587,4.267396,99.044143,7.013980,106.432423,233.601248,0.007705,0.000320,2.582200,46.368985,92.737970,0.002126,0.001718,
19/12/07 13:00 13:30,36000.0,0.472169,-0.276744,-39.670230,49.031588,0.035969,0.027256,0.619311,768.787740,407.583316,0.963604,3.327207,0.953630,4.305624,99.042600,6.534154,105.132018,235.067815,0.007657,0.000329,2.416901,48.162746,96.325491,0.002141,0.001722,
19/12/07 13:30 14:00,35999.0,0.486277,-0.293465,-48.672226,53.393227,0.039254,0.032033,0.727861,768.332372,407.432363,0.963008,3.274821,0.953019,4.326574,99.033918,7.123345,106.959961,209.258953,0.008602,0.000349,2.425358,46.668788,93.337576,0.002168,0.001727,
19/12/07 14:00 14:30,36000.0,0.394015,-0.192593,-37.763119,38.509564,0.028379,0.021673,0.492466,768.071577,407.453885,0.963000,3.403731,0.953001,4.424287,99.019948,5.740244,107.137760,143.470211,0.012546,0.000229,3.088581,47.196130,94.392261,0.001962,0.001669,
19/12/07 14:30 15:00,35999.0,0.359462,-0.160390,-32.182722,34.752129,0.025582,0.024119,0.548040,768.289905,407.326991,0.963000,3.476968,0.953002,4.232804,99.015278,5.270598,107.621487,127.828066,0.014081,0.000191,3.627178,45.357680,90.715359,0.001881,0.001642,
19/12/07 15:00 15:30,36000.0,0.388154,-0.187146,-33.451100,35.835343,0.026383,0.013684,0.310939,768.779257,407.303059,0.963000,3.498022,0.953000,4.053361,99.028330,5.187382,108.694411,154.865858,0.011623,0.000223,2.926086,50.002620,100.005240,0.001951,0.001667,
19/12/07 15:30 16:00,35999.0,0.389613,-0.188633,-36.963124,40.828690,0.030028,0.019289,0.438294,769.039349,407.273390,0.963000,3.453308,0.953000,3.915993,99.019263,5.697363,110.547549,141.719800,0.012701,0.000224,3.000828,48.826002,97.652004,0.001952,0.001666,
