year month day id wd wsd tmp
1998 12 22 89512 130 6 -5.2
1998 12 22 89512 120 14 -4
1998 12 22 89512 90 10 -1.4
1998 12 22 89512 110 10 -1.3
1998 12 23 89512 140 14 -4
1998 12 23 89512 140 14 -2.5
1998 12 23 89512 110 14 -.3
1998 12 23 89512 230 8 -.4
1998 12 24 89512 130 8 -5.3
1998 12 24 89512 120 14 -4.5
1998 12 24 89512 80 8 -2.4
1998 12 24 89512 40 8 -1.9
1998 12 25 89512 210 10 -5
1998 12 25 89512 160 6 -4
1998 12 25 89512 180 2 -1.8
1998 12 25 89512 100 6 -3
1998 12 26 89512 0 0 -5.9
1998 12 26 89512 10 2 -3.8
1998 12 26 89512 40 4 -.3
1998 12 26 89512 50 6 -1.9
1998 12 27 89512 50 2 -6.1
1998 12 27 89512 120 10 -2
1998 12 27 89512 40 6 -3.3
1998 12 27 89512 60 4 -3.5
1998 12 28 89512 120 6 -3.8
1998 12 28 89512 120 12 -2.8
1998 12 28 89512 120 24 -1.1
1998 12 28 89512 120 22 -.7
1998 12 29 89512 120 30 -1.1
1998 12 29 89512 130 28 -1.8
1998 12 29 89512 110 26 .9
1998 12 29 89512 120 34 .9
1998 12 30 89512 120 30 1.2
1998 12 30 89512 120 36 1.1
1998 12 30 89512 130 38 .9
1998 12 31 89512 120 26 1.1
1998 12 31 89512 130 26 1.4
1998 12 31 89512 130 28 2.6
1998 12 31 89512 120 24 2.4
1999 12 01 89512 10 2 -8.3
1999 12 01 89512 160 16 -6.9
1999 12 01 89512 70 10 -5
1999 12 01 89512 30 4 -5.7
1999 12 02 89512 200 6 -8.5
1999 12 02 89512 170 16 -7.5
1999 12 02 89512 70 10 -5.8
1999 12 02 89512 20 4 -6.3
1999 12 03 89512 140 12 -7.8
1999 12 03 89512 120 20 -6.5
1999 12 03 89512 10 4 -4.5
1999 12 04 89512 190 2 -7
1999 12 04 89512 180 8 -6.5
1999 12 04 89512 350 10 -3.4
1999 12 04 89512 250 8 -3.6
1999 12 05 89512 350 2 -10.8
1999 12 05 89512 20 4 -11.1
1999 12 05 89512 30 4 -6.5
1999 12 05 89512 140 4 -6.4
1999 12 06 89512 90 2 -8.6
1999 12 06 89512 130 8 -7.1
1999 12 06 89512 70 10 -4.6
1999 12 06 89512 60 2 -5.5
1999 12 07 89512 350 2 -7.3
1999 12 07 89512 50 2 -6.4
1999 12 07 89512 90 8 -4.8
1999 12 07 89512 180 2 -3.6
1999 12 08 89512 90 4 -8
1999 12 08 89512 30 2 -7.5
1999 12 08 89512 10 4 -6.1
1999 12 08 89512 90 6 -3.1
1999 12 09 89512 120 18 -2
1999 12 09 89512 110 20 -1.2
1999 12 09 89512 100 6 -.5
1999 12 10 89512 210 8 -4
1999 12 10 89512 310 2 -5
1999 12 10 89512 20 6 -4.3
1999 12 11 89512 90 10 -4.5
1999 12 11 89512 120 24 -4.4
1999 12 11 89512 100 22 -3.2
1999 12 11 89512 110 16 -2.4
1999 12 12 89512 120 20 -3.6
1999 12 12 89512 120 28 -3.4
1999 12 12 89512 110 24 -1.3
1999 12 12 89512 120 10 -1.5
1999 12 13 89512 130 8 1.9
1999 12 13 89512 180 10 -1.2
1999 12 14 89512 160 10 -1.2
1999 12 14 89512 70 10 1.1
1999 12 14 89512 70 10 1.4
1999 12 15 89512 220 4 -1.8
1999 12 15 89512 170 22 -2.2
1999 12 15 89512 100 12 .5
1999 12 16 89512 140 6 -3.5
1999 12 16 89512 120 18 -2.4
1999 12 16 89512 80 14 -.3
