year month day id wd wsd tmp
1999 01 01 89512 130 22 .7
1999 01 01 89512 130 26 1
1999 01 01 89512 110 18 3.1
1999 01 01 89512 110 6 2.1
1999 01 02 89512 40 2 -.9
1999 01 02 89512 130 10 3.1
1999 01 02 89512 140 8 3.7
1999 01 03 89512 130 24 1.5
1999 01 03 89512 130 28 1.8
1999 01 03 89512 120 20 2.8
1999 01 03 89512 130 10 2.2
1999 01 04 89512 130 24 .4
1999 01 04 89512 120 20 -1.7
1999 01 04 89512 110 26 .7
1999 01 04 89512 130 14 -.1
1999 01 05 89512 130 18 -1.3
1999 01 05 89512 130 28 -1.1
1999 01 05 89512 110 30 -.6
1999 01 05 89512 130 18 -1.4
1999 01 06 89512 140 20 -2.5
1999 01 06 89512 140 24 -1.8
1999 01 06 89512 100 12 1
1999 01 06 89512 30 4 .9
1999 01 07 89512 140 14 -1.7
1999 01 07 89512 170 24 -1.8
1999 01 08 89512 160 16 -2.5
1999 01 08 89512 130 24 .5
1999 01 08 89512 120 8 3.3
1999 01 08 89512 130 8 2.6
1999 01 09 89512 120 10 1.7
1999 01 09 89512 130 6 2.3
1999 01 09 89512 150 20 2.3
1999 01 09 89512 120 12 2.1
1999 01 10 89512 130 14 .5
1999 01 10 89512 120 24 -.3
1999 01 10 89512 110 22 .2
1999 01 10 89512 130 22 -.2
1999 01 11 89512 120 24 -1.2
1999 01 11 89512 120 22 -1.1
1999 01 11 89512 130 18 .3
1999 01 11 89512 130 14 0
1999 01 12 89512 160 12 -1.4
1999 01 12 89512 210 4 .1
1999 01 12 89512 20 6 .4
1999 01 12 89512 40 4 -.6
1999 01 13 89512 180 10 -3
1999 01 13 89512 140 24 -1.3
1999 01 13 89512 120 14 1
1999 01 13 89512 120 14 2.8
1999 01 14 89512 140 28 1.3
1999 01 14 89512 130 34 0
1999 01 14 89512 130 42 2.1
1999 01 14 89512 130 46 3.1
1999 01 15 89512 120 42 1.7
1999 01 15 89512 130 40 .7
1999 01 15 89512 130 30 1.2
1999 01 15 89512 120 16 3
1999 01 16 89512 130 28 3.5
1999 01 16 89512 130 22 3.9
1999 01 16 89512 130 8 5
1999 01 16 89512 120 8 4.3
1999 01 17 89512 130 14 1
1999 01 17 89512 140 14 1.2
1999 01 17 89512 40 8 1.8
1999 01 17 89512 200 2 2.2
1999 01 18 89512 160 18 -1.6
1999 01 18 89512 160 18 -.5
1999 01 18 89512 90 8 2.3
1999 01 19 89512 150 18 -1.3
1999 01 19 89512 130 8 -.2
1999 01 19 89512 100 12 .9
1999 01 19 89512 40 6 -.8
1999 01 20 89512 120 16 -2
1999 01 20 89512 130 24 -.4
1999 01 20 89512 100 14 .7
1999 01 20 89512 120 28 -1.4
1999 01 21 89512 130 30 -3.5
1999 01 21 89512 120 32 -3.8
1999 01 21 89512 120 36 -3.1
1999 01 21 89512 120 34 -2.5
1999 01 22 89512 130 34 -3.1
1999 01 22 89512 130 40 -3.6
1999 01 22 89512 130 44 -2.5
1999 01 22 89512 130 40 -2.2
1999 01 23 89512 130 34 -2.5
1999 01 23 89512 150 22 -2.4
1999 01 23 89512 110 14 -.3
1999 01 24 89512 210 6 -5.2
1999 01 24 89512 170 14 -3.6
1999 01 24 89512 110 8 -1.2
1999 01 24 89512 0 4 -1.5
1999 01 25 89512 0 0 -4.7
1999 01 25 89512 190 14 -3.6
1999 01 25 89512 100 22 .4
1999 01 25 89512 220 6 .5
1999 01 26 89512 150 24 -2.9
1999 01 26 89512 130 40 -2.8
1999 01 26 89512 130 30 -1.7
1999 01 26 89512 130 34 -1.9
1999 01 27 89512 130 44 -1.9
1999 01 27 89512 140 44 -2.3
1999 01 27 89512 130 44 -1.3
1999 01 27 89512 130 44 -1.6
1999 01 28 89512 130 38 -2.2
1999 01 28 89512 130 36 -1.5
1999 01 28 89512 130 28 .1
1999 01 28 89512 130 20 -1.2
1999 01 29 89512 150 24 -2.9
1999 01 29 89512 130 26 -.5
1999 01 29 89512 110 22 .7
1999 01 29 89512 130 22 .1
1999 01 30 89512 130 24 -.6
1999 01 30 89512 130 26 0
1999 01 30 89512 120 24 1.7
1999 01 30 89512 130 36 1
1999 01 31 89512 130 42 -.5
1999 01 31 89512 140 36 -1.1
1999 01 31 89512 120 26 0
1999 01 31 89512 130 10 -.9
2000 01 01 89512 40 4 -3.1
2000 01 01 89512 80 4 -1.4
2000 01 02 89512 100 20 -3.1
2000 01 02 89512 10 8 -1.9
2000 01 02 89512 20 6 -1.1
2000 01 03 89512 150 8 -3
2000 01 03 89512 100 16 -5.7
2000 01 03 89512 90 14 -3.9
2000 01 03 89512 80 12 -3.2
2000 01 04 89512 110 12 -6.2
2000 01 04 89512 110 14 -3.5
2000 01 04 89512 90 12 -1.1
2000 01 04 89512 100 14 -2.2
2000 01 05 89512 110 18 -5
2000 01 05 89512 100 22 -3.3
2000 01 05 89512 110 32 -1.7
2000 01 05 89512 120 30 -2.6
2000 01 06 89512 120 24 -2.3
2000 01 06 89512 130 16 -1.2
2000 01 06 89512 80 20 .8
2000 01 06 89512 110 14 .2
2000 01 07 89512 150 10 -.2
2000 01 07 89512 130 22 -3.1
2000 01 07 89512 100 10 .3
2000 01 07 89512 20 4 -.6
2000 01 08 89512 160 14 -3.2
2000 01 08 89512 150 22 -3
2000 01 08 89512 110 18 .3
2000 01 09 89512 120 20 -.8
2000 01 09 89512 100 16 1.7
2000 01 09 89512 110 10 1.9
2000 01 10 89512 150 20 -.6
2000 01 10 89512 160 28 -.2
2000 01 10 89512 160 16 3.2
2000 01 10 89512 120 6 2.6
2000 01 11 89512 160 24 -1.4
2000 01 11 89512 120 14 -.1
2000 01 11 89512 250 8 1.8
2000 01 11 89512 260 12 2
2000 01 12 89512 110 6 -4.2
2000 01 12 89512 40 2 -4.3
2000 01 12 89512 50 10 -.7
2000 01 12 89512 40 4 -.7
2000 01 13 89512 160 14 -.4
2000 01 13 89512 40 2 -.1
2000 01 13 89512 50 4 .7
2000 01 13 89512 130 6 2.4
2000 01 14 89512 130 8 .7
2000 01 14 89512 110 20 .4
2000 01 14 89512 90 20 .1
2000 01 15 89512 110 14 -2.6
2000 01 15 89512 110 10 -1.4
2000 01 15 89512 70 14 .5
2000 01 15 89512 120 4 .7
2000 01 16 89512 150 18 -1.4
2000 01 16 89512 110 14 -2.1
2000 01 16 89512 110 22 -1.6
2000 01 16 89512 90 16 -1.4
2000 01 17 89512 120 8 -3.9
2000 01 17 89512 130 20 -2.9
2000 01 17 89512 90 18 .2
2000 01 17 89512 10 4 -.2
2000 01 18 89512 150 22 -3
2000 01 18 89512 160 26 -2.6
2000 01 18 89512 100 10 1.8
2000 01 18 89512 140 4 1.5
2000 01 19 89512 150 20 -1.6
2000 01 19 89512 140 20 .5
2000 01 19 89512 90 20 2.8
2000 01 19 89512 110 16 2
2000 01 20 89512 150 20 -.3
