"Plot Title: LAKSHMI"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 20183678, SEN S/N: 20183678, LBL: PRES)","Temp, °C (LGR S/N: 20183678, SEN S/N: 20183678, LBL: TMP)","Coupler Detached (LGR S/N: 20183678)","Coupler Attached (LGR S/N: 20183678)","Host Connected (LGR S/N: 20183678)","Stopped (LGR S/N: 20183678)","End Of File (LGR S/N: 20183678)"
1,12.07.19 klo 10.00.00 ip.,105.660,0.893,Logged,,,,
2,12.07.19 klo 10.30.00 ip.,105.645,0.784,,,,,
3,12.07.19 klo 11.00.00 ip.,105.675,0.784,,,,,
4,12.07.19 klo 11.30.00 ip.,105.694,0.784,,,,,
5,12.08.19 klo 12.00.00 ap.,105.694,0.784,,,,,
6,12.08.19 klo 12.30.00 ap.,105.694,0.784,,,,,
7,12.08.19 klo 01.00.00 ap.,105.704,0.784,,,,,
8,12.08.19 klo 01.30.00 ap.,105.724,0.784,,,,,
9,12.08.19 klo 02.00.00 ap.,105.744,0.784,,,,,
10,12.08.19 klo 02.30.00 ap.,105.753,0.784,,,,,
11,12.08.19 klo 03.00.00 ap.,105.768,0.893,,,,,
12,12.08.19 klo 03.30.00 ap.,105.778,0.893,,,,,
13,12.08.19 klo 04.00.00 ap.,105.792,1.003,,,,,
14,12.08.19 klo 04.30.00 ap.,105.787,1.112,,,,,
15,12.08.19 klo 05.00.00 ap.,105.797,1.112,,,,,
16,12.08.19 klo 05.30.00 ap.,105.821,1.221,,,,,
17,12.08.19 klo 06.00.00 ap.,105.776,1.330,,,,,
18,12.08.19 klo 06.30.00 ap.,105.795,1.548,,,,,
19,12.08.19 klo 07.00.00 ap.,105.809,1.656,,,,,
20,12.08.19 klo 07.30.00 ap.,105.789,1.872,,,,,
21,12.08.19 klo 08.00.00 ap.,105.783,1.980,,,,,
22,12.08.19 klo 08.30.00 ap.,105.763,2.195,,,,,
23,12.08.19 klo 09.00.00 ap.,105.787,2.303,,,,,
24,12.08.19 klo 09.30.00 ap.,105.782,2.410,,,,,
25,12.08.19 klo 10.00.00 ap.,105.772,2.410,,,,,
26,12.08.19 klo 10.30.00 ap.,105.767,2.303,,,,,
27,12.08.19 klo 11.00.00 ap.,105.752,2.410,,,,,
28,12.08.19 klo 11.30.00 ap.,105.762,2.410,,,,,
29,12.08.19 klo 12.00.00 ip.,105.723,2.410,,,,,
30,12.08.19 klo 12.30.00 ip.,105.723,2.195,,,,,
31,12.08.19 klo 01.00.00 ip.,105.729,2.088,,,,,
32,12.08.19 klo 01.30.00 ip.,105.710,1.872,,,,,
33,12.08.19 klo 02.00.00 ip.,105.725,1.764,,,,,
34,12.08.19 klo 02.30.00 ip.,105.696,1.764,,,,,
35,12.08.19 klo 03.00.00 ip.,105.691,1.656,,,,,
36,12.08.19 klo 03.30.00 ip.,105.677,1.548,,,,,
