1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A100000062912041
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Dec 03 00:00:01 EET 2019
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Dec 29 19:00:01 EET 2019
Total Mission Samples:  4739
Total Device Samples:  7965
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
29.12.2019 19:00:01,C,2,792
29.12.2019 20:00:01,C,2,416
29.12.2019 21:00:01,C,2,604
29.12.2019 22:00:01,C,2,291
29.12.2019 23:00:01,C,2,353
30.12.2019 0:00:01,C,3,231
30.12.2019 1:00:01,C,3,294
30.12.2019 2:00:01,C,1,852
30.12.2019 3:00:01,C,2,667
30.12.2019 4:00:01,C,2,291
30.12.2019 5:00:01,C,3,356
30.12.2019 6:00:01,C,3,356
30.12.2019 7:00:01,C,2,918
30.12.2019 8:00:01,C,3,858
30.12.2019 9:00:01,C,3,294
30.12.2019 10:00:01,C,3,482
30.12.2019 11:00:01,C,3,419
30.12.2019 12:00:01,C,3,607
30.12.2019 13:00:01,C,4,046
30.12.2019 14:00:01,C,4,046
30.12.2019 15:00:01,C,3,983
30.12.2019 16:00:01,C,3,858
30.12.2019 17:00:01,C,3,106
30.12.2019 18:00:01,C,4,422
30.12.2019 19:00:01,C,3,294
30.12.2019 20:00:01,C,3,106
30.12.2019 21:00:01,C,2,291
30.12.2019 22:00:01,C,1,789
30.12.2019 23:00:01,C,2,228
31.12.2019 0:00:01,C,1,538
31.12.2019 1:00:01,C,3,043
31.12.2019 2:00:01,C,3,294
31.12.2019 3:00:01,C,2,792
31.12.2019 4:00:01,C,3,858
31.12.2019 5:00:01,C,5,299
31.12.2019 6:00:01,C,5,738
31.12.2019 7:00:01,C,6,114
31.12.2019 8:00:01,C,4,485
31.12.2019 9:00:01,C,4,171
31.12.2019 10:00:01,C,4,234
31.12.2019 11:00:01,C,3,544
31.12.2019 12:00:01,C,3,732
31.12.2019 13:00:01,C,3,607
31.12.2019 14:00:01,C,3,983
31.12.2019 15:00:01,C,4,046
31.12.2019 16:00:01,C,3,983
31.12.2019 17:00:01,C,3,983
31.12.2019 18:00:01,C,4,046
31.12.2019 19:00:01,C,4,046
31.12.2019 20:00:01,C,3,92
31.12.2019 21:00:01,C,3,607
31.12.2019 22:00:01,C,3,607
31.12.2019 23:00:01,C,3,544
1.1.2020 0:00:01,C,3,482
1.1.2020 1:00:01,C,3,231
1.1.2020 2:00:01,C,3,043
1.1.2020 3:00:01,C,3,106
1.1.2020 4:00:01,C,3,231
1.1.2020 5:00:01,C,3,419
