27.1.2018 8:11:01,C,3.672
27.1.2018 8:21:01,C,3.735
27.1.2018 8:31:01,C,3.798
27.1.2018 8:41:01,C,3.861
27.1.2018 8:51:01,C,3.924
27.1.2018 9:01:01,C,3.924
27.1.2018 9:11:01,C,3.987
27.1.2018 9:21:01,C,3.987
27.1.2018 9:31:01,C,4.05
27.1.2018 9:41:01,C,4.176
27.1.2018 9:51:01,C,4.176
27.1.2018 10:01:01,C,4.176
27.1.2018 10:11:01,C,4.302
27.1.2018 10:21:01,C,4.428
27.1.2018 10:31:01,C,4.428
27.1.2018 10:41:01,C,4,491
27.1.2018 10:51:01,C,4,617
27.1.2018 11:01:01,C,4,679
27.1.2018 11:11:01,C,4,805
27.1.2018 11:21:01,C,4,868
27.1.2018 11:31:01,C,4,931
27.1.2018 11:41:01,C,4,994
27.1.2018 11:51:01,C,4,994
27.1.2018 12:01:01,C,5,183
27.1.2018 12:11:01,C,5,309
27.1.2018 12:21:01,C,5,435
27.1.2018 12:31:01,C,5,56
27.1.2018 12:41:01,C,5,812
27.1.2018 12:51:01,C,6,001
27.1.2018 13:01:01,C,5,938
27.1.2018 13:11:01,C,6,126
27.1.2018 13:21:01,C,6,315
27.1.2018 13:31:01,C,6,504
27.1.2018 13:41:01,C,6,63
27.1.2018 13:51:01,C,6,693
27.1.2018 14:01:01,C,6,944
27.1.2018 14:11:01,C,6,881
27.1.2018 14:21:01,C,6,944
27.1.2018 14:31:01,C,7,07
27.1.2018 14:41:01,C,7,573
27.1.2018 14:51:01,C,7,321
27.1.2018 15:01:01,C,7,321
27.1.2018 15:11:01,C,7,636
27.1.2018 15:21:01,C,7,573
27.1.2018 15:31:01,C,7,636
27.1.2018 15:41:01,C,7,699
27.1.2018 15:51:01,C,7,824
27.1.2018 16:01:01,C,7,824
27.1.2018 16:11:01,C,8,139
27.1.2018 16:21:01,C,8,013
27.1.2018 16:31:01,C,8,201
27.1.2018 16:41:01,C,7,887
27.1.2018 16:51:01,C,8,264
27.1.2018 17:01:01,C,8,579
27.1.2018 17:11:01,C,8,453
27.1.2018 17:21:01,C,8,39
27.1.2018 17:31:01,C,8,39
27.1.2018 17:41:01,C,8,39
27.1.2018 17:51:01,C,8,516
27.1.2018 18:01:01,C,9,081
27.1.2018 18:11:01,C,8,767
27.1.2018 18:21:01,C,8,893
27.1.2018 18:31:01,C,8,83
27.1.2018 18:41:01,C,8,39
27.1.2018 18:51:01,C,7,887
27.1.2018 19:01:01,C,7,447
27.1.2018 19:11:01,C,7,384
27.1.2018 19:21:01,C,7,321
27.1.2018 19:31:01,C,7,321
27.1.2018 19:41:01,C,7,573
27.1.2018 19:51:01,C,7,51
27.1.2018 20:01:01,C,7,636
27.1.2018 20:11:01,C,7,95
27.1.2018 20:21:01,C,8,076
27.1.2018 20:31:01,C,7,824
