"Plot Title: PARVATI"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 20183676, SEN S/N: 20183676, LBL: PRES)","Temp, °C (LGR S/N: 20183676, SEN S/N: 20183676, LBL: TMP)","Water Level, meters (LGR S/N: 20183676)","Coupler Detached (LGR S/N: 20183676)","Coupler Attached (LGR S/N: 20183676)","Host Connected (LGR S/N: 20183676)","Stopped (LGR S/N: 20183676)","End Of File (LGR S/N: 20183676)"
20,12.30.17 klo 06.10.00 ip.,99.417,2.624,100.271,,,,,
21,12.30.17 klo 06.20.00 ip.,99.421,2.088,100.271,,,,,
22,12.30.17 klo 06.30.00 ip.,99.406,1.872,100.270,,,,,
23,12.30.17 klo 06.40.00 ip.,99.441,1.764,100.273,,,,,
24,12.30.17 klo 06.50.00 ip.,99.441,1.764,100.273,,,,,
25,12.30.17 klo 07.00.00 ip.,99.422,1.764,100.271,,,,,
26,12.30.17 klo 07.10.00 ip.,99.441,1.764,100.273,,,,,
27,12.30.17 klo 07.20.00 ip.,99.419,1.656,100.271,,,,,
28,12.30.17 klo 07.30.00 ip.,99.429,1.656,100.272,,,,,
29,12.30.17 klo 07.40.00 ip.,99.429,1.656,100.272,,,,,
30,12.30.17 klo 07.50.00 ip.,99.400,1.656,100.269,,,,,
31,12.30.17 klo 08.00.00 ip.,99.410,1.656,100.270,,,,,
32,12.30.17 klo 08.10.00 ip.,99.438,1.656,100.273,,,,,
33,12.30.17 klo 08.20.00 ip.,99.419,1.656,100.271,,,,,
34,12.30.17 klo 08.30.00 ip.,99.435,1.548,100.273,,,,,
35,12.30.17 klo 08.40.00 ip.,99.426,1.548,100.272,,,,,
36,12.30.17 klo 08.50.00 ip.,99.454,1.548,100.275,,,,,
37,12.30.17 klo 09.00.00 ip.,99.442,1.439,100.274,,,,,
38,12.30.17 klo 09.10.00 ip.,99.451,1.439,100.274,,,,,
39,12.30.17 klo 09.20.00 ip.,99.470,1.439,100.276,,,,,
40,12.30.17 klo 09.30.00 ip.,99.470,1.439,100.276,,,,,
41,12.30.17 klo 09.40.00 ip.,99.410,1.330,100.270,,,,,
